Explant_Type,Plant_Species,Medium_Composition,Temperature,Humidity,Light_Intensity,Culture_Duration,Regeneration_Success_Rate
Stem,Spinach,B5 + 2mg/L BAP,26,66,2344,44,88
Leaf,Carrot,MS + 0.5mg/L IAA,20,56,4500,42,71
Stem,Thyme,MS + 0.5mg/L IAA,20,53,4656,47,77
Stem,Rose,MS + 2mg/L BAP,23,64,2853,33,71
Root,Spinach,MS + 1mg/L NAA,22,56,2006,53,86
Leaf,Aloe,B5 + 1mg/L NAA,21,72,3204,51,73
Leaf,Lavender,MS + 1.5mg/L BAP,23,50,4632,58,88
Leaf,Garlic,MS + 0.5mg/L IAA,25,62,4063,42,83
Stem,Chamomile,B5 + 2mg/L BAP,24,62,3510,54,93
Root,Carrot,B5 + 1mg/L NAA,20,55,2603,59,93
Stem,Onion,B5 + 0.5mg/L IAA,25,68,4900,30,89
Leaf,Chamomile,B5 + 2mg/L BAP,21,56,4005,56,80
Leaf,Onion,MS + 1mg/L NAA,26,71,3882,46,79
Root,Pansy,B5 + 1mg/L NAA,24,70,3434,40,78
Stem,Onion,MS + 0.5mg/L IAA,21,71,4147,40,93
Stem,Dandelion,MS + 1.5mg/L BAP,23,52,3540,45,86
Root,Lettuce,B5 + 1mg/L NAA,23,61,3944,54,84
Stem,Garlic,B5 + 1mg/L NAA,21,52,2199,32,82
Leaf,Lavender,MS + 1mg/L NAA,23,75,2885,55,73
Root,Eggplant,MS + 1.5mg/L BAP,20,66,3586,55,91
Stem,Spinach,MS + 0.5mg/L IAA,26,75,3341,44,95
Stem,Pansy,B5 + 2mg/L BAP,21,74,3699,39,80
Stem,Chrysanthemum,MS + 1.5mg/L BAP,24,52,2600,49,70
Root,Spinach,B5 + 1mg/L NAA,24,64,2211,51,92
Stem,Pansy,MS + 0.5mg/L IAA,23,67,2795,31,94
Root,Eggplant,B5 + 2mg/L BAP,26,66,3730,55,79
Root,Ginger,MS + 1.5mg/L BAP,25,54,2883,41,86
Leaf,Pepper,MS + 0.5mg/L IAA,23,59,3039,46,87
Leaf,Broccoli,MS + 0.5mg/L IAA,23,74,3245,39,79
Stem,Lettuce,MS + 2mg/L BAP,20,54,4785,49,88
Root,Pepper,B5 + 0.5mg/L IAA,22,62,3152,53,93
Root,Marigold,MS + 2mg/L BAP,21,61,2865,42,73
Stem,Spinach,B5 + 1mg/L NAA,22,60,4575,46,92
Stem,Lavender,B5 + 0.5mg/L IAA,21,68,4437,46,80
Leaf,Parsley,MS + 1mg/L NAA,24,59,3057,32,93
Stem,Basil,MS + 0.5mg/L IAA,20,63,3650,38,70
Stem,Onion,MS + 2mg/L BAP,23,69,4083,38,86
Leaf,Onion,B5 + 0.5mg/L IAA,26,67,4448,48,88
Stem,Garlic,B5 + 2mg/L BAP,22,68,3546,49,74
Leaf,Basil,MS + 2mg/L BAP,22,50,4943,31,90
Stem,Parsley,B5 + 2mg/L BAP,20,63,3001,46,78
Leaf,Parsley,B5 + 1mg/L NAA,26,54,2952,31,79
Stem,Pepper,MS + 1.5mg/L BAP,25,57,2429,36,83
Stem,Daisy,MS + 2mg/L BAP,25,54,4200,60,92
Root,Garlic,B5 + 0.5mg/L IAA,23,64,2294,56,79
Root,Chrysanthemum,MS + 1.5mg/L BAP,20,73,4761,55,71
Leaf,Sunflower,MS + 2mg/L BAP,20,54,2616,40,77
Stem,Cucumber,MS + 1.5mg/L BAP,20,57,2803,46,80
Leaf,Sunflower,B5 + 1mg/L NAA,24,70,2910,42,70
Root,Daisy,MS + 0.5mg/L IAA,25,65,3518,35,84
Leaf,Thyme,MS + 1mg/L NAA,23,53,3801,39,83
Stem,Lettuce,MS + 1mg/L NAA,22,64,4783,53,89
Root,Pepper,MS + 1.5mg/L BAP,25,69,3727,31,81
Root,Parsley,B5 + 0.5mg/L IAA,21,66,2363,51,81
Stem,Parsley,MS + 0.5mg/L IAA,22,68,3952,41,95
Leaf,Broccoli,B5 + 2mg/L BAP,24,50,4924,44,81
Stem,Thyme,MS + 0.5mg/L IAA,26,54,2195,38,89
Leaf,Aloe,B5 + 1mg/L NAA,26,55,3837,38,92
Stem,Aloe,B5 + 1mg/L NAA,25,57,2900,40,95
Stem,Spinach,MS + 1mg/L NAA,22,65,2508,30,94
Stem,Pepper,B5 + 0.5mg/L IAA,23,71,3828,48,76
Stem,Sunflower,MS + 0.5mg/L IAA,26,68,3234,49,81
Leaf,Mint,MS + 1.5mg/L BAP,22,51,3146,48,80
Leaf,Ginger,B5 + 0.5mg/L IAA,20,51,3463,47,86
Root,Lavender,MS + 2mg/L BAP,22,72,3888,43,86
Leaf,Beetroot,B5 + 2mg/L BAP,20,75,3890,36,72
Leaf,Tomato,MS + 1.5mg/L BAP,20,74,3753,35,71
Root,Oregano,B5 + 1mg/L NAA,21,63,2708,38,86
Root,Oregano,B5 + 2mg/L BAP,25,60,4765,41,94
Leaf,Chrysanthemum,B5 + 2mg/L BAP,24,58,3693,54,92
Leaf,Lettuce,B5 + 2mg/L BAP,24,75,2556,37,74
Leaf,Chamomile,MS + 0.5mg/L IAA,20,72,3589,40,91
Root,Eggplant,MS + 0.5mg/L IAA,21,67,3003,34,74
Leaf,Pepper,MS + 0.5mg/L IAA,23,70,3607,44,84
Leaf,Garlic,MS + 1.5mg/L BAP,21,70,3820,53,84
Root,Sunflower,MS + 1mg/L NAA,20,64,4204,48,94
Root,Chamomile,B5 + 0.5mg/L IAA,22,51,3282,33,80
Stem,Marigold,MS + 0.5mg/L IAA,21,71,4853,33,79
Root,Spinach,MS + 2mg/L BAP,23,67,2168,58,84
Stem,Beetroot,B5 + 1mg/L NAA,23,58,4086,33,94
Leaf,Chrysanthemum,MS + 1.5mg/L BAP,21,75,4515,32,84
Root,Chamomile,MS + 0.5mg/L IAA,23,64,4270,52,90
Root,Sunflower,MS + 0.5mg/L IAA,21,64,4479,60,85
Leaf,Rose,B5 + 0.5mg/L IAA,26,68,4000,31,85
Leaf,Broccoli,B5 + 2mg/L BAP,24,60,4031,59,78
Root,Eggplant,B5 + 1mg/L NAA,26,72,3085,52,81
Stem,Cauliflower,MS + 1.5mg/L BAP,20,58,4030,46,88
Stem,Rose,MS + 1.5mg/L BAP,22,52,3533,41,75
Leaf,Thyme,B5 + 1mg/L NAA,25,70,4511,55,81
Root,Onion,MS + 1mg/L NAA,22,75,3116,52,79
Stem,Pansy,MS + 0.5mg/L IAA,25,64,4802,57,92
Root,Ginger,B5 + 0.5mg/L IAA,22,63,3174,32,73
Root,Mint,B5 + 1mg/L NAA,23,65,4662,60,74
Leaf,Aloe,MS + 1.5mg/L BAP,20,60,2980,47,76
Root,Spinach,MS + 2mg/L BAP,24,60,3168,38,86
Leaf,Cucumber,B5 + 0.5mg/L IAA,26,56,4057,43,84
Stem,Onion,MS + 1.5mg/L BAP,24,68,4919,51,74
Leaf,Garlic,B5 + 1mg/L NAA,21,66,3369,43,79
Leaf,Carrot,B5 + 0.5mg/L IAA,24,52,2566,58,93
Root,Onion,MS + 1mg/L NAA,22,67,4406,46,88
Stem,Tomato,MS + 2mg/L BAP,26,67,3450,49,95
Leaf,Cauliflower,MS + 1.5mg/L BAP,21,69,2779,47,95
Root,Marigold,MS + 2mg/L BAP,20,71,3827,51,77
Leaf,Aloe,MS + 1mg/L NAA,24,51,3882,53,85
Leaf,Cauliflower,B5 + 1mg/L NAA,23,64,3039,40,89
Leaf,Tobacco,B5 + 0.5mg/L IAA,24,73,2112,49,85
Stem,Carrot,MS + 2mg/L BAP,26,56,2983,37,89
Root,Pepper,MS + 1.5mg/L BAP,20,64,3950,56,71
Stem,Sunflower,MS + 1mg/L NAA,23,66,3594,35,70
Root,Pansy,MS + 1mg/L NAA,23,52,3907,32,85
Stem,Onion,B5 + 0.5mg/L IAA,23,61,3719,37,71
Leaf,Pansy,B5 + 1mg/L NAA,22,68,4283,41,92
Root,Rose,B5 + 2mg/L BAP,25,52,3946,56,79
Stem,Mint,MS + 1mg/L NAA,26,60,3152,48,80
Stem,Pansy,B5 + 2mg/L BAP,26,65,2102,43,81
Leaf,Aloe,MS + 0.5mg/L IAA,25,69,3086,33,89
Leaf,Ginger,MS + 1.5mg/L BAP,26,51,2615,46,79
Stem,Marigold,B5 + 0.5mg/L IAA,24,67,2092,51,87
Root,Onion,B5 + 1mg/L NAA,25,68,3966,36,79
Stem,Lavender,B5 + 1mg/L NAA,25,59,3725,31,88
Stem,Ginger,MS + 1mg/L NAA,20,61,3913,56,92
Stem,Basil,MS + 2mg/L BAP,24,66,3452,51,93
Root,Pepper,B5 + 1mg/L NAA,21,69,2329,44,83
Stem,Onion,B5 + 1mg/L NAA,21,74,3262,53,84
Stem,Potato,B5 + 2mg/L BAP,24,72,4444,52,78
Stem,Basil,B5 + 2mg/L BAP,24,70,3823,36,93
Root,Chamomile,MS + 1mg/L NAA,26,62,3436,50,73
Leaf,Rose,B5 + 0.5mg/L IAA,26,55,2818,38,83
Leaf,Garlic,B5 + 1mg/L NAA,22,62,3220,52,83
Stem,Tomato,MS + 1.5mg/L BAP,24,67,2361,59,74
Leaf,Rose,B5 + 1mg/L NAA,24,56,2311,57,76
Stem,Basil,MS + 0.5mg/L IAA,23,66,3298,47,91
Leaf,Cauliflower,B5 + 1mg/L NAA,26,58,3929,30,88
Root,Spinach,MS + 1mg/L NAA,22,67,2850,58,80
Leaf,Tomato,B5 + 1mg/L NAA,26,66,4669,54,95
Leaf,Cucumber,MS + 2mg/L BAP,22,64,2851,31,83
Root,Beetroot,MS + 1.5mg/L BAP,26,63,2243,58,91
Leaf,Tomato,MS + 1mg/L NAA,22,56,4547,34,85
Stem,Broccoli,B5 + 0.5mg/L IAA,20,66,4409,34,73
Root,Daisy,MS + 1.5mg/L BAP,26,50,2238,51,74
Root,Sunflower,MS + 1.5mg/L BAP,25,54,2132,57,80
Root,Potato,MS + 1mg/L NAA,21,50,4635,43,81
Root,Potato,B5 + 2mg/L BAP,26,71,4939,38,88
Root,Dandelion,B5 + 1mg/L NAA,26,65,2190,34,77
Root,Carrot,MS + 1.5mg/L BAP,26,62,4338,41,80
Stem,Onion,B5 + 1mg/L NAA,22,52,3137,49,70
Leaf,Tomato,B5 + 1mg/L NAA,24,54,2137,60,75
Stem,Aloe,MS + 2mg/L BAP,25,57,3675,60,94
Root,Aloe,MS + 1.5mg/L BAP,23,68,3526,45,84
Leaf,Onion,MS + 2mg/L BAP,21,62,3631,51,83
Root,Cucumber,B5 + 1mg/L NAA,26,71,3462,59,84
Root,Sunflower,B5 + 2mg/L BAP,23,53,4973,34,78
Leaf,Tomato,MS + 2mg/L BAP,20,55,4073,30,89
Stem,Pansy,MS + 2mg/L BAP,23,53,2614,40,93
Root,Oregano,B5 + 0.5mg/L IAA,22,70,2991,57,95
Leaf,Parsley,MS + 2mg/L BAP,21,75,3189,40,70
Leaf,Basil,MS + 1mg/L NAA,20,71,4958,39,82
Leaf,Pepper,B5 + 2mg/L BAP,25,69,3078,47,79
Root,Potato,MS + 2mg/L BAP,23,50,3406,56,73
Root,Chrysanthemum,B5 + 1mg/L NAA,26,70,3000,35,95
Root,Parsley,B5 + 2mg/L BAP,24,60,4151,56,74
Root,Ginger,MS + 0.5mg/L IAA,24,73,3366,48,94
Root,Potato,MS + 1mg/L NAA,20,52,4681,46,74
Root,Tobacco,B5 + 0.5mg/L IAA,26,67,4691,57,85
Stem,Tomato,MS + 0.5mg/L IAA,20,75,3731,58,74
Root,Spinach,B5 + 2mg/L BAP,26,67,3496,59,91
Root,Garlic,B5 + 1mg/L NAA,23,53,3007,45,85
Leaf,Oregano,MS + 0.5mg/L IAA,26,54,3400,59,82
Root,Onion,B5 + 2mg/L BAP,26,68,2738,55,81
Leaf,Lettuce,MS + 1mg/L NAA,26,70,2820,47,76
Root,Basil,B5 + 2mg/L BAP,22,75,4772,57,95
Stem,Eggplant,B5 + 2mg/L BAP,26,67,2533,33,72
Root,Eggplant,MS + 1mg/L NAA,25,66,3685,52,79
Root,Eggplant,MS + 0.5mg/L IAA,26,70,3760,49,81
Root,Garlic,MS + 1.5mg/L BAP,26,62,2130,34,73
Stem,Garlic,MS + 2mg/L BAP,20,70,4585,60,92
Stem,Ginger,MS + 1mg/L NAA,21,75,4799,32,90
Stem,Daisy,MS + 1mg/L NAA,22,74,4748,57,76
Leaf,Onion,MS + 1.5mg/L BAP,21,53,2055,54,78
Root,Pansy,MS + 0.5mg/L IAA,24,66,2150,55,73
Stem,Aloe,MS + 1.5mg/L BAP,24,74,3065,39,85
Leaf,Broccoli,MS + 2mg/L BAP,26,54,3910,45,90
Stem,Marigold,B5 + 0.5mg/L IAA,24,75,2118,51,71
Leaf,Eggplant,MS + 1mg/L NAA,20,50,4337,38,71
Stem,Cucumber,MS + 1mg/L NAA,24,70,2322,49,80
Leaf,Tobacco,MS + 2mg/L BAP,23,65,2287,53,79
Stem,Aloe,B5 + 0.5mg/L IAA,21,50,2245,47,81
Stem,Ginger,B5 + 0.5mg/L IAA,24,62,3005,38,80
Root,Spinach,B5 + 1mg/L NAA,23,62,3260,44,87
Leaf,Daisy,B5 + 1mg/L NAA,23,72,4395,39,77
Root,Eggplant,MS + 2mg/L BAP,25,74,4726,42,95
Leaf,Beetroot,MS + 1.5mg/L BAP,25,69,3481,30,79
Stem,Sunflower,B5 + 0.5mg/L IAA,22,51,3726,39,81
Root,Marigold,B5 + 2mg/L BAP,24,53,2318,35,81
Stem,Cauliflower,B5 + 2mg/L BAP,21,51,2322,48,89
Stem,Pepper,MS + 0.5mg/L IAA,25,64,4457,37,80
Leaf,Aloe,MS + 2mg/L BAP,21,68,4823,59,81
Stem,Garlic,MS + 1mg/L NAA,21,54,4448,44,83
Root,Tobacco,B5 + 0.5mg/L IAA,23,57,4055,60,95
Root,Beetroot,B5 + 0.5mg/L IAA,22,65,4325,33,75
Leaf,Carrot,B5 + 2mg/L BAP,26,74,4423,45,73
Stem,Ginger,B5 + 0.5mg/L IAA,23,54,3634,53,83
Root,Oregano,MS + 1.5mg/L BAP,23,68,3287,47,87
Stem,Garlic,MS + 1mg/L NAA,20,67,2329,59,91
Root,Onion,B5 + 0.5mg/L IAA,26,54,2355,38,76
Leaf,Sunflower,MS + 2mg/L BAP,22,62,4243,51,76
Stem,Rose,B5 + 1mg/L NAA,20,67,2416,45,81
Stem,Tomato,MS + 2mg/L BAP,21,69,4796,55,95
Leaf,Tomato,MS + 1.5mg/L BAP,25,57,3303,58,91
Root,Eggplant,B5 + 0.5mg/L IAA,20,57,4057,35,85
Leaf,Dandelion,MS + 0.5mg/L IAA,24,58,2880,32,92
Root,Basil,MS + 2mg/L BAP,20,72,3834,38,94
Leaf,Eggplant,B5 + 2mg/L BAP,24,66,3133,43,83
Stem,Eggplant,MS + 1mg/L NAA,20,71,3645,32,83
Root,Mint,MS + 0.5mg/L IAA,22,63,3746,44,86
Root,Garlic,B5 + 0.5mg/L IAA,21,71,2313,35,71
Root,Beetroot,B5 + 0.5mg/L IAA,24,59,3277,45,87
Leaf,Chrysanthemum,MS + 2mg/L BAP,26,69,4990,40,95
Root,Beetroot,B5 + 2mg/L BAP,25,64,3255,47,89
Stem,Pansy,B5 + 1mg/L NAA,26,51,3926,31,81
Stem,Eggplant,MS + 1.5mg/L BAP,23,57,3837,55,94
Stem,Onion,MS + 1.5mg/L BAP,20,72,3741,38,70
Stem,Tomato,B5 + 2mg/L BAP,21,60,2380,41,79
Leaf,Tobacco,MS + 2mg/L BAP,24,51,4091,55,95
Leaf,Eggplant,MS + 1.5mg/L BAP,21,63,4633,34,93
Stem,Parsley,B5 + 2mg/L BAP,23,65,4653,49,88
Stem,Lettuce,MS + 0.5mg/L IAA,21,60,3672,56,72
Root,Basil,MS + 1.5mg/L BAP,22,64,4093,58,70
Leaf,Ginger,MS + 0.5mg/L IAA,22,66,3994,35,86
Root,Dandelion,MS + 2mg/L BAP,26,69,4739,43,83
Stem,Garlic,B5 + 2mg/L BAP,21,63,2000,44,94
Root,Dandelion,B5 + 1mg/L NAA,20,66,3149,57,92
Leaf,Cauliflower,MS + 1mg/L NAA,22,75,4951,60,71
Leaf,Mint,MS + 0.5mg/L IAA,20,73,3890,56,79
Stem,Pepper,B5 + 0.5mg/L IAA,25,57,4390,43,76
Leaf,Eggplant,B5 + 1mg/L NAA,26,56,3685,49,72
Leaf,Tomato,B5 + 1mg/L NAA,21,60,3637,59,85
Leaf,Dandelion,B5 + 1mg/L NAA,26,61,4749,46,72
Stem,Carrot,B5 + 2mg/L BAP,26,72,4666,46,81
Stem,Basil,B5 + 1mg/L NAA,21,64,3570,50,80
Root,Thyme,MS + 0.5mg/L IAA,20,50,4242,49,91
Root,Mint,MS + 2mg/L BAP,24,75,2603,44,85
Stem,Mint,B5 + 1mg/L NAA,20,65,4900,48,87
Root,Cucumber,B5 + 1mg/L NAA,25,64,4515,47,80
Leaf,Oregano,MS + 0.5mg/L IAA,25,57,2064,46,94
Leaf,Chrysanthemum,MS + 2mg/L BAP,22,73,3527,44,75
Leaf,Cauliflower,B5 + 2mg/L BAP,23,53,4916,60,72
Stem,Dandelion,MS + 1.5mg/L BAP,23,74,2545,45,90
Leaf,Garlic,MS + 1.5mg/L BAP,21,55,3510,40,92
Root,Daisy,B5 + 2mg/L BAP,20,75,3655,39,88
Leaf,Cauliflower,B5 + 1mg/L NAA,22,71,3405,38,84
Leaf,Tobacco,MS + 1mg/L NAA,26,56,4459,40,88
Leaf,Aloe,MS + 2mg/L BAP,22,53,4400,46,77
Root,Daisy,B5 + 0.5mg/L IAA,20,60,3535,38,77
Root,Onion,MS + 2mg/L BAP,20,60,2068,58,82
Stem,Pepper,MS + 1.5mg/L BAP,20,60,4157,44,87
Stem,Chrysanthemum,B5 + 0.5mg/L IAA,25,70,4629,54,82
Stem,Parsley,MS + 1.5mg/L BAP,25,51,4534,39,71
Leaf,Rose,B5 + 1mg/L NAA,23,71,2277,60,94
Stem,Basil,B5 + 2mg/L BAP,25,74,3131,32,89
Root,Sunflower,MS + 2mg/L BAP,24,60,4942,37,91
Root,Chrysanthemum,B5 + 2mg/L BAP,26,64,2672,38,77
